0	java/util/Iterator/hasNext()
1	java/util/List/get(int)
2	java/net/URLConnection/getInputStream()
3	java/lang/StringBuilder/toString()
4	java/util/HashSet/HashSet()
5	java/lang/StringBuilder/append(java.lang.String)
6	java/util/Map$Entry/getKey()
7	java/net/URL/openConnection()
8	java/util/ArrayList/ArrayList()
9	java/util/List/iterator()
10	org/codehaus/plexus/classworlds/realm/ClassRealm/getParentRealm()
11	org/codehaus/plexus/classworlds/realm/ClassRealm/findResources(java.lang.String)
12	java/net/URL/toString()
13	java/util/List/addAll(java.util.Collection)
14	org/codehaus/plexus/component/collections/ComponentList/checkUpdate()
15	java/lang/StringBuilder/append(java.lang.Object)
16	java/util/Iterator/next()
17	java/util/ArrayList/ArrayList(java.util.Collection)
18	java/lang/StringBuilder/StringBuilder()
19	java/util/LinkedHashSet/remove(java.lang.Object)
20	org/codehaus/plexus/util/IOUtil/close(java.io.Reader)
21	java/net/URL/toExternalForm()
22	java/util/Collections/list(java.util.Enumeration)
23	org/codehaus/plexus/classworlds/realm/ClassRealm/findRealmResources(java.lang.String)
24	java/util/LinkedHashSet/add(java.lang.Object)
25	java/util/Map/entrySet()
26	org/codehaus/plexus/classworlds/realm/ClassRealm/getImportRealms()
27	java/util/Set/iterator()
28	java/lang/ThreadLocal/get()
29	java/util/LinkedHashSet/contains(java.lang.Object)
30	org/codehaus/plexus/classworlds/realm/ClassRealm/toString()
31	org/codehaus/plexus/component/collections/ComponentList/lookup(java.lang.String,java.lang.String)
32	org/codehaus/plexus/component/collections/ComponentList/getComponentDescriptorMap()
33	java/util/Set/add(java.lang.Object)
34	org/codehaus/plexus/classworlds/realm/ClassRealm/getId()
35	java/util/List/indexOf(java.lang.Object)
36	org/codehaus/plexus/util/ReaderFactory/newXmlReader(java.io.InputStream)
37	java/net/URLConnection/connect()
38	java/util/List/add(java.lang.Object)
39	java/net/URLConnection/setUseCaches(boolean)
40	org/codehaus/plexus/util/InterpolationFilterReader/InterpolationFilterReader(java.io.Reader,java.util.Map)
41	java/util/List/subList(int,int)
42	java/net/URL/openStream()
43	java/util/List/size()
44	java/util/ArrayList/iterator()
