0	43	1
0	12	1
0	42	1
0	37	1
0	27	1
0	35	1
0	34	1
0	5	1
0	8	1
0	26	1
0	28	1
0	3	1
0	2	1
0	17	1
0	40	1
1	26	1
1	39	1
1	35	1
1	3	1
1	27	1
1	25	1
1	33	1
1	40	1
1	36	1
1	9	1
1	46	1
1	17	1
1	8	1
1	12	1
1	15	1
2	14	1
2	27	1
2	49	1
2	44	1
2	12	1
2	1	1
2	26	1
2	3	1
2	24	1
2	10	1
2	8	1
2	21	1
3	12	1
3	19	1
3	13	1
3	27	1
3	18	1
3	45	1
3	36	1
3	26	1
3	7	1
3	50	1
3	4	1
3	6	1
3	52	1
3	8	1
3	21	1
3	15	1
3	3	1
3	22	1
4	45	1
4	0	1
4	3	1
4	40	1
4	47	1
4	34	1
4	23	1
4	19	1
4	31	1
4	38	1
4	12	1
4	1	1
4	26	1
4	44	1
4	8	1
4	48	1
4	39	1
4	17	1
4	20	1
4	30	1
4	32	1
4	36	1
4	51	1
4	11	1
4	35	1
4	27	1
4	29	1
4	15	1
4	41	1
5	3	1
5	16	1
5	26	1
5	27	1
