0	java/lang/Integer/intValue()
1	java/util/LinkedHashMap/LinkedHashMap()
2	java/util/SortedMap/get(java.lang.Object)
3	org/xwiki/rendering/parser/ResourceReferenceParser/parse(java.lang.String)
4	org/xwiki/rendering/block/NewLineBlock/NewLineBlock()
5	org/xwiki/rendering/block/GroupBlock/GroupBlock(java.util.Map)
6	java/util/Iterator/hasNext()
7	org/xwiki/rendering/listener/reference/ResourceReference/getReference()
8	java/lang/StringBuilder/toString()
9	java/lang/StringBuilder/append(java.lang.String)
10	org/apache/commons/lang3/StringUtils/isEmpty(java.lang.CharSequence)
11	org/xwiki/rendering/block/ImageBlock/ImageBlock(org.xwiki.rendering.listener.reference.ResourceReference,boolean)
12	org/xwiki/rendering/transformation/MacroTransformationContext/isInline()
13	org/xwiki/rendering/block/XDOM/getChildren()
14	org/xwiki/rendering/block/FormatBlock/setParameters(java.util.Map)
15	java/util/Collections/singletonList(java.lang.Object)
16	java/util/Collections/emptyList()
17	java/lang/StringBuilder/StringBuilder()
18	org/xwiki/rendering/block/FormatBlock/FormatBlock(java.util.List,org.xwiki.rendering.listener.Format)
19	org/xwiki/rendering/block/Block/addChild(org.xwiki.rendering.block.Block)
20	java/util/SortedMap/keySet()
21	java/util/Map/put(java.lang.Object,java.lang.Object)
22	org/xwiki/rendering/listener/reference/ResourceReference/getType()
23	org/xwiki/rendering/block/Block/addChildren(java.util.List)
24	org/xwiki/rendering/listener/reference/ResourceType/equals(java.lang.Object)
25	org/xwiki/rendering/macro/MacroContentParser/parse(java.lang.String,org.xwiki.rendering.transformation.MacroTransformationContext,boolean,boolean)
