3,30,0.08,35,153
3,30,0.01,30,23
3,40,0.01,25,153
3,40,0.23,25,153
3,20,0.08,30,23
3,40,0.01,30,153
3,30,0.01,35,153
3,20,0.23,30,23
3,40,0.23,35,153
3,30,0.08,25,23
3,40,0.01,25,23
3,30,0.08,25,153
3,30,0.23,30,23
3,20,0.01,30,153
3,20,0.08,35,23
3,40,0.08,30,23
3,40,0.08,35,23
3,30,0.23,35,23
3,40,0.08,35,153
3,20,0.01,30,23
3,40,0.01,30,23
3,30,0.01,30,153
3,20,0.08,25,23
3,20,0.08,25,153
3,40,0.08,25,23
3,30,0.08,30,153
3,30,0.23,25,153
3,20,0.01,35,23
3,40,0.08,25,153
3,40,0.23,30,153
3,20,0.01,25,153
3,40,0.23,30,23
3,20,0.23,30,153
3,20,0.01,25,23
3,20,0.23,25,23
3,40,0.01,35,153
3,40,0.08,30,153
3,20,0.01,35,153
3,20,0.23,35,153
3,20,0.23,25,153
3,30,0.23,30,153
3,30,0.08,30,23
3,30,0.08,35,23
3,30,0.01,35,23
3,30,0.23,25,23
3,30,0.23,35,153
3,20,0.08,35,153
3,40,0.23,25,23
3,30,0.01,25,23
3,30,0.01,25,153
3,40,0.01,35,23
3,20,0.23,35,23
3,40,0.23,35,23
3,20,0.08,30,153
