0	10	1
0	9	1
0	1	1
0	16	1
0	44	1
0	14	1
0	8	1
0	29	1
0	47	1
0	59	1
0	24	1
0	36	1
0	57	1
0	48	1
0	31	1
0	5	1
0	53	1
0	18	1
0	21	1
0	4	1
0	50	1
0	27	1
0	17	1
0	41	1
0	35	1
0	42	1
0	25	1
0	51	1
0	23	1
0	60	1
0	3	1
0	12	1
0	20	1
1	0	1
1	30	1
1	25	1
1	16	1
1	3	1
1	44	1
1	34	1
1	58	1
1	19	1
1	51	1
1	62	1
2	44	1
2	11	1
2	33	1
2	3	1
2	19	1
2	26	1
2	6	1
2	38	1
2	37	1
2	13	1
2	2	1
2	54	1
2	49	1
2	25	1
2	45	1
3	51	1
3	7	1
3	52	1
3	25	1
3	3	1
3	16	1
3	17	1
3	61	1
3	43	1
4	22	1
4	55	1
4	32	1
4	25	1
4	19	1
4	3	1
4	46	1
4	28	1
4	15	1
4	40	1
4	39	1
4	56	1
5	3	1
5	8	1
5	25	1
5	58	1
