0	java/lang/Integer/intValue()
1	net/htmlparser/jericho/FormControl$SubmitFormControl/SubmitFormControl(net.htmlparser.jericho.Element,net.htmlparser.jericho.FormControlType)
2	java/lang/String/substring(int,int)
3	net/htmlparser/jericho/FormControl$RadioCheckboxFormControl/RadioCheckboxFormControl(net.htmlparser.jericho.Element,net.htmlparser.jericho.FormControlType)
4	java/lang/StringBuilder/StringBuilder(int)
5	java/lang/Integer/Integer(int)
6	java/util/Iterator/hasNext()
7	java/lang/Object/toString()
8	net/htmlparser/jericho/FormControl$ElementContainer/getAttributeValue(java.lang.String)
9	java/lang/RuntimeException/RuntimeException(java.lang.Throwable)
10	java/lang/StringBuilder/toString()
11	java/lang/StringBuilder/append(java.lang.String)
12	java/lang/String/equalsIgnoreCase(java.lang.String)
13	java/lang/String/equals(java.lang.Object)
14	java/util/Map$Entry/getKey()
15	java/util/List/iterator()
16	net/htmlparser/jericho/FormControlType/ordinal()
17	net/htmlparser/jericho/FormControl$TextAreaFormControl/TextAreaFormControl(net.htmlparser.jericho.Element)
18	net/htmlparser/jericho/FormControl$ImageSubmitFormControl/ImageSubmitFormControl(net.htmlparser.jericho.Element)
19	java/util/Iterator/next()
20	java/util/HashMap/HashMap(int,float)
21	java/util/Map/size()
22	java/lang/StringBuilder/StringBuilder()
23	net/htmlparser/jericho/FormControlType/isNonFormControl(java.lang.String)
24	net/htmlparser/jericho/FormControl$SelectFormControl/SelectFormControl(net.htmlparser.jericho.Element)
25	java/util/Map/entrySet()
26	net/htmlparser/jericho/FormControl$InputFormControl/InputFormControl(net.htmlparser.jericho.Element,net.htmlparser.jericho.FormControlType)
27	java/util/Set/iterator()
28	java/lang/String/length()
29	java/lang/AssertionError/AssertionError(java.lang.Object)
30	java/util/Map/put(java.lang.Object,java.lang.Object)
31	net/htmlparser/jericho/StartTag/getName()
32	java/util/Map$Entry/getValue()
33	net/htmlparser/jericho/FormControlType/getFromInputElementType(java.lang.String)
34	java/lang/StringBuilder/append(char)
35	java/lang/StringBuilder/append(int)
36	org/simpleframework/http/core/ResponseMessage/getAll(java.lang.String)
37	java/lang/CharSequence/length()
